KEYS,en-US,ru-RU
reg.Hong Kong,Hong Kong,Гонконг
reg.Heard I and McDonald Is,Heard I. and McDonald Is.,Остров Херд и острова Макдональд
reg.Honduras,Honduras,Гондурас
reg.Croatia,Croatia,Хорватия
reg.Haiti,Haiti,Республика Гаити
reg.Hungary,Hungary,Венгрия
reg.Indonesia,Indonesia,Индонезия
reg.Isle of Man,Isle of Man,Остров Мэн
reg.India,India,Индия
reg.Br Indian Ocean Ter,Br. Indian Ocean Ter.,Британская территория в Индийском океане
reg.Ireland,Ireland,Ирландия
reg.Iran,Iran,Иран
reg.Iraq,Iraq,Ирак
reg.Iceland,Iceland,Исландия
reg.Israel,Israel,Израиль
reg.Italy,Italy,Италия
reg.Jamaica,Jamaica,Ямайка
reg.Jersey,Jersey,Джерси
reg.Jordan,Jordan,Иордания
reg.Japan,Japan,Япония
reg.Kazakhstan,Kazakhstan,Казахстан
reg.Kenya,Kenya,Кения
reg.Kyrgyzstan,Kyrgyzstan,Киргизия
reg.Cambodia,Cambodia,Камбоджа
reg.Kiribati,Kiribati,Кирибати
reg.St Kitts and Nevis,St. Kitts and Nevis,Сент-Китс и Невис
reg.S Korea,S. Korea,Республика Корея
reg.Kuwait,Kuwait,Кувейт
reg.Laos,Laos,Лаос
reg.Lebanon,Lebanon,Ливан
reg.Liberia,Liberia,Либерия
reg.Libya,Libya,Ливия
reg.Saint Lucia,Saint Lucia,Сент-Люсия
reg.Liechtenstein,Liechtenstein,Лихтенштейн
reg.Sri Lanka,Sri Lanka,Шри-Ланка
reg.Lesotho,Lesotho,Лесото
reg.Lithuania,Lithuania,Литва
reg.Luxembourg,Luxembourg,Люксембург
reg.Latvia,Latvia,Латвия
reg.Macau,Macau,Макао
reg.St Martin,St. Martin,Сен-Мартен
reg.Morocco,Morocco,Марокко
reg.Monaco,Monaco,Монако
reg.Moldova,Moldova,Молдавия
reg.Madagascar,Madagascar,Мадагаскар
reg.Maldives,Maldives,Мальдивы
reg.Mexico,Mexico,Мексика
reg.Marshall Is,Marshall Is.,Маршалловы Острова
reg.Macedonia,Macedonia,Республика Македония
reg.Mali,Mali,Мали
reg.Malta,Malta,Мальта
reg.Myanmar,Myanmar,Мьянма
reg.Montenegro,Montenegro,Черногория
reg.Mongolia,Mongolia,Монголия
reg.N Mariana Is,N. Mariana Is.,Северные Марианские острова
reg.Mozambique,Mozambique,Мозамбик
reg.Mauritania,Mauritania,Мавритания
reg.Montserrat,Montserrat,Монтсеррат
reg.Mauritius,Mauritius,Маврикий
reg.Malawi,Malawi,Малави
reg.Malaysia,Malaysia,Малайзия
reg.Namibia,Namibia,Намибия
reg.New Caledonia,New Caledonia,Новая Каледония
reg.Niger,Niger,Нигер
reg.Norfolk Island,Norfolk Island,Норфолк
reg.Nigeria,Nigeria,Нигерия
reg.Nicaragua,Nicaragua,Никарагуа
reg.Niue,Niue,Ниуэ
reg.Netherlands,Netherlands,Нидерланды
reg.Norway,Norway,Норвегия
reg.Nepal,Nepal,Непал
reg.Nauru,Nauru,Науру
reg.New Zealand,New Zealand,Новая Зеландия
reg.Oman,Oman,Оман
reg.Pakistan,Pakistan,Пакистан
reg.Panama,Panama,Панама
reg.Pitcairn Is,Pitcairn Is.,Острова Питкэрн
reg.Peru,Peru,Перу
reg.Philippines,Philippines,Филиппины
reg.Palau,Palau,Палау
reg.Papua New Guinea,Papua New Guinea,Папуа — Новая Гвинея
reg.Poland,Poland,Польша
reg.Puerto Rico,Puerto Rico,Пуэрто-Рико
reg.N Korea,N. Korea,Корейская Народно-Демократическая Республика
reg.Portugal,Portugal,Португалия
reg.Paraguay,Paraguay,Парагвай
reg.Fr Polynesia,Fr. Polynesia,Французская Полинезия
reg.Qatar,Qatar,Катар
reg.Romania,Romania,Румыния
reg.Russia,Russia,Россия
reg.Rwanda,Rwanda,Руанда
reg.Saudi Arabia,Saudi Arabia,Саудовская Аравия
reg.Sudan,Sudan,Судан
reg.S Sudan,S. Sudan,Южный Судан
reg.Senegal,Senegal,Сенегал
reg.Singapore,Singapore,Сингапур
reg.S Geo and S Sandw Is,S. Geo. and S. Sandw. Is.,Южная Георгия и Южные Сандвичевы острова
reg.Saint Helena,Saint Helena,Остров Святой Елены
reg.Solomon Is,Solomon Is.,Соломоновы Острова
reg.Sierra Leone,Sierra Leone,Сьерра-Леоне
reg.El Salvador,El Salvador,Сальвадор
reg.San Marino,San Marino,Сан-Марино
reg.Somalia,Somalia,Сомали
reg.St Pierre and Miquelon,St. Pierre and Miquelon,Сен-Пьер и Микелон
reg.Serbia,Serbia,Сербия
reg.Sao Tome and Principe,Sao Tome and Principe,Сан-Томе и Принсипи
reg.Suriname,Suriname,Суринам
reg.Slovakia,Slovakia,Словакия
reg.Slovenia,Slovenia,Словения
reg.Sweden,Sweden,Швеция
reg.Swaziland,Swaziland,Свазиленд
reg.Sint Maarten,Sint Maarten,Синт-Мартен
reg.Seychelles,Seychelles,Сейшельские Острова
reg.Syria,Syria,Сирия
reg.Turks and Caicos Is,Turks and Caicos Is.,Тёркс и Кайкос
reg.Chad,Chad,Чад
reg.Togo,Togo,Того
reg.Thailand,Thailand,Таиланд
reg.Tajikistan,Tajikistan,Таджикистан
reg.Turkmenistan,Turkmenistan,Туркмения
reg.East Timor,East Timor,Восточный Тимор
reg.Tonga,Tonga,Тонга
reg.Trinidad and Tobago,Trinidad and Tobago,Тринидад и Тобаго
reg.Tunisia,Tunisia,Тунис
reg.Turkey,Turkey,Турция
reg.Taiwan,Taiwan,Тайвань
reg.Tanzania,Tanzania,Танзания
reg.Uganda,Uganda,Уганда
reg.Ukraine,Ukraine,Украина
reg.Uruguay,Uruguay,Уругвай
reg.United States,United States,Соединенные Штаты
reg.Uzbekistan,Uzbekistan,Узбекистан
reg.Vatican,Vatican,Ватикан
reg.St Vin and Gren,St. Vin. and Gren.,Сент-Винсент и Гренадины
reg.Venezuela,Venezuela,Венесуэла
reg.British Virgin Is,British Virgin Is.,Британские Виргинские острова
reg.US Virgin Is,U.S. Virgin Is.,Американские Виргинские острова
reg.Vietnam,Vietnam,Вьетнам
reg.Vanuatu,Vanuatu,Вануату
reg.Wallis and Futuna,Wallis and Futuna,Уоллис и Футуна
reg.Samoa,Samoa,Самоа
reg.Yemen,Yemen,Йемен
reg.South Africa,South Africa,Южно-Африканская Республика
reg.Zambia,Zambia,Замбия
reg.Zimbabwe,Zimbabwe,Зимбабве
